Test_ID,Passage,Question,Options,Answer,Explanation
2,"<span id=""maintitle"">Smart Energy</span><br /> <p>The next few decades will see great changes in the way energy is supplied and used.&nbsp; In some major oil producing nations, 'peak oil' has already ...","In  paragraph 6 , what can be inferred about cities in the future?",A  More people will be living in cities in the future than nowadays. | B  People in cities will be using cars and buses powered by electricity. | C  All buildings will generate their own electricity. | D  Smart Grid technology will only be available in cities.,B,See choice feedback
2,"<span id=""maintitle"">Smart Energy</span><br /> <p>The next few decades will see great changes in the way energy is supplied and used.&nbsp; In some major oil producing nations, 'peak oil' has already ...",The word ' remote ' in  paragraph 5  could be best replace by:,A  isolated | B  crowded | C  attractive | D  alone,A,See choice feedback
2,"<span id=""maintitle"">Smart Energy</span><br /> <p>The next few decades will see great changes in the way energy is supplied and used.&nbsp; In some major oil producing nations, 'peak oil' has already ...",The word ' underway ' in  paragraph 6  is closest in meaning to:,A  permanent | B  complete | C  beneficial | D  in progress,D,See choice feedback
2,"<span id=""maintitle"">Smart Energy</span><br /> <p>The next few decades will see great changes in the way energy is supplied and used.&nbsp; In some major oil producing nations, 'peak oil' has already ...",17  What is the main idea of the final paragraph? ( paragraph 6 ).,"A   To describe who will benefit from Smart Grid technology first. | B   To outline the advantages of Smart Grid technology. | C   To summarise the main ideas in the previous paragraphs. | D  To describe how, where and when Smart Technology will be introduced.",D,See choice feedback
2,"<span id=""maintitle"">Smart Energy</span><br /> <p>The next few decades will see great changes in the way energy is supplied and used.&nbsp; In some major oil producing nations, 'peak oil' has already ...","In paragraph 6, what can be inferred about the introduction of Smart Grid Technology?",A  The technologies which produce most benefits will be introduced first. | B  The cheapest technologies will be introduced first. | C  The technologies which are most difficult to put into place will be introduced first. | D  Technologically advanced systems will be introduced first.,A,See choice feedback
2,"<span id=""maintitle"">Smart Energy</span><br /> <p>The next few decades will see great changes in the way energy is supplied and used.&nbsp; In some major oil producing nations, 'peak oil' has already ...",Which  THREE  of the aspects below are answered in the passage?,A  How consumers are likely to respond to Smart Grid technology. | B  The problems which will have to be overcome in switching to Smart Grid technology. | C   The reasons why Smart Grid technology will be needed in the future. | D  A comparison between Smart Grid technology and the present electrical distribution system. | E  The ways Smart Grid technology will affect the way consumers use energy. | F  An analysis of the costs and benefits of Smart Grid technology.,"B, C, E",Multiple selection question
3,"<span id=""maintitle"">Risk-Taking and the Monkey Economy</span> <p>Humans are uniquely smart among all the other species on the planet.&nbsp; We are capable of outstanding feats of technology and engin...",What was the aim of the experiment outlined above?,A  To investigate whether monkeys could learn to use money | B  To investigate where human mistakes come from | C  To find out whether it is better to take risks in times of loss | D  To determine whether monkeys make more mistakes than humans,B,See choice feedback
3,"<span id=""maintitle"">Risk-Taking and the Monkey Economy</span> <p>Humans are uniquely smart among all the other species on the planet.&nbsp; We are capable of outstanding feats of technology and engin...","Where in paragraph 3 could the sentence below be best placed?    The team distributed metal discs to the monkeys, and taught them that the discs could be exchanged with team-members for food.",A | B | C | D,C,See choice feedback
3,"<span id=""maintitle"">Risk-Taking and the Monkey Economy</span> <p>Humans are uniquely smart among all the other species on the planet.&nbsp; We are capable of outstanding feats of technology and engin...","Which of the following statements is the best paraphrase of the highlighted sentence?   On a more optimistic note however, humans are fully capable of overcoming limitations once we have identified them.","A  Hopefully, humans will soon be able to solve these problems. | B  Fortunately, humans can solve problems that we know about. | C  Luckily, humans do not have many limitations which have been identified. | D  We are happy to note that we can solve the problem which we have identified.",B,See choice feedback
3,"<span id=""maintitle"">Risk-Taking and the Monkey Economy</span> <p>Humans are uniquely smart among all the other species on the planet.&nbsp; We are capable of outstanding feats of technology and engin...",The words ' cottoned on ' are closest in meaning to:,A  learnt | B  knew | C  completed | D  concluded,A,See choice feedback
3,"<span id=""maintitle"">Risk-Taking and the Monkey Economy</span> <p>Humans are uniquely smart among all the other species on the planet.&nbsp; We are capable of outstanding feats of technology and engin...",Which paragraph addresses why monkeys were chosen for the experiment?,A  Paragraph 2 | B  Paragraph 3 | C  Paragraph 4 | D  Paragraph 5,A,See choice feedback
3,"<span id=""maintitle"">Risk-Taking and the Monkey Economy</span> <p>Humans are uniquely smart among all the other species on the planet.&nbsp; We are capable of outstanding feats of technology and engin...",What can be inferred about Laurie Santos?,A  She thinks that both humans and monkeys are greedy. | B  Her job frequently involves working with monkeys. | C  She believes that humans should never take risks. | D  She prefers monkeys to humans.,B,See choice feedback
3,"<span id=""maintitle"">Risk-Taking and the Monkey Economy</span> <p>Humans are uniquely smart among all the other species on the planet.&nbsp; We are capable of outstanding feats of technology and engin...",Which  THREE  of the following statements are supported by the text?,A  Both monkeys and humans take risks at any opportunity. | B  Risk-taking behaviour among humans is the same as that among monkeys. | C  Human mistakes are due to the complexity of our environment. | D  Monkeys and humans take more risks if there is the chance they will lose out. | E  Humans' perception of risk has probably been part of our minds for millions of years. | F  Monkeys make fewer errors of judgement that humans do.,"B, D, E",Multiple selection question
